127.0.0.1, 2018-04-19 16:52:24, GET, /start/static/css/myapp.css, HTTP/1.1, 200, 0.006000
127.0.0.1, 2018-04-19 16:52:24, GET, /start/static/css/web2py.css, HTTP/1.1, 200, 0.013000
127.0.0.1, 2018-04-19 16:52:24, GET, /start/static/font-awesome-4.6.3/css/font-awesome.min.css, HTTP/1.1, 200, 0.015000
127.0.0.1, 2018-04-19 16:52:24, GET, /start/static/js/calendar.js, HTTP/1.1, 200, 0.030000
127.0.0.1, 2018-04-19 16:52:24, GET, /start/static/js/jquery.js, HTTP/1.1, 200, 0.044000
127.0.0.1, 2018-04-19 16:52:24, GET, /start/static/js/web2py.js, HTTP/1.1, 200, 0.032000
127.0.0.1, 2018-04-19 16:52:24, GET, /start/static/js/vue.js, HTTP/1.1, 200, 0.039000
127.0.0.1, 2018-04-19 16:52:24, GET, /start/static/js/default_index.js, HTTP/1.1, 200, 0.010000
127.0.0.1, 2018-04-19 16:52:24, GET, /start/static/js/marked.min.js, HTTP/1.1, 200, 0.019000
127.0.0.1, 2018-04-19 16:52:24, GET, /start/static/js/vue.min.js, HTTP/1.1, 200, 0.040000
127.0.0.1, 2018-04-19 16:52:24, GET, /start/static/font-awesome-4.6.3/fonts/fontawesome-webfont.woff2, HTTP/1.1, 200, 0.015000
127.0.0.1, 2018-04-19 16:52:24, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2018-04-19 17:36:09, GET, /start/default/index, HTTP/1.1, 200, 0.221000
127.0.0.1, 2018-04-19 17:36:09, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2018-04-19 17:36:12, GET, /admin/default/site, HTTP/1.1, 303, 0.655000
127.0.0.1, 2018-04-19 17:36:12, GET, /admin/default/index, HTTP/1.1, 200, 0.211000
127.0.0.1, 2018-04-19 17:36:12, GET, /admin/static/_2.16.1/plugin_multiselect/jquery.multi-select.js, HTTP/1.1, 200, 0.024000
127.0.0.1, 2018-04-19 17:36:12, GET, /admin/static/_2.16.1/plugin_multiselect/multi-select.css, HTTP/1.1, 200, 0.023000
127.0.0.1, 2018-04-19 17:36:12, GET, /admin/static/_2.16.1/css/calendar.css, HTTP/1.1, 200, 0.054000
127.0.0.1, 2018-04-19 17:36:12, GET, /admin/static/_2.16.1/plugin_statebutton/css/bootstrap-switch.css, HTTP/1.1, 200, 0.026000
127.0.0.1, 2018-04-19 17:36:12, GET, /admin/static/_2.16.1/js/calendar.js, HTTP/1.1, 200, 0.058000
127.0.0.1, 2018-04-19 17:36:12, GET, /admin/static/_2.16.1/css/bootstrap.min.css, HTTP/1.1, 200, 0.034000
127.0.0.1, 2018-04-19 17:36:12, GET, /admin/static/_2.16.1/plugin_multiselect/start.js, HTTP/1.1, 200, 0.006000
127.0.0.1, 2018-04-19 17:36:12, GET, /admin/static/_2.16.1/css/bootstrap_essentials.css, HTTP/1.1, 200, 0.018000
127.0.0.1, 2018-04-19 17:36:12, GET, /admin/static/_2.16.1/css/bootstrap-responsive.min.css, HTTP/1.1, 200, 0.020000
127.0.0.1, 2018-04-19 17:36:12, GET, /admin/static/_2.16.1/js/web2py.js, HTTP/1.1, 200, 0.099000
js, HTTP/1.1, 200, 0.020000
127.0.0.1, 2018-04-19 17:36:12, GET, /admin/static/_2.16.1/js/bootstrap.min.js, HTTP/1.1, 200, 0.033000
127.0.0.1, 2018-04-19 17:36:12, GET, /admin/static/_2.16.1/js/jquery.js, HTTP/1.1, 200, 0.132000
127.0.0.1, 2018-04-19 17:36:12, GET, /admin/static/_2.16.1/images/questions.png, HTTP/1.1, 200, 0.030000
127.0.0.1, 2018-04-19 17:36:12, GET, /favicon.ico, HTTP/1.1, 400, 0.001000
127.0.0.1, 2018-04-19 17:36:13, GET, /start/default/index, HTTP/1.1, 200, 0.061000
