127.0.0.1, 2018-04-07 19:15:20, GET, /favicon.ico, HTTP/1.1, 400, 0.000329
127.0.0.1, 2018-04-07 19:15:21, GET, /start/default/index, HTTP/1.1, 200, 0.020079
127.0.0.1, 2018-04-07 19:15:21, GET, /favicon.ico, HTTP/1.1, 400, 0.000379
127.0.0.1, 2018-04-07 19:15:30, GET, /start/, HTTP/1.1, 200, 0.020115
127.0.0.1, 2018-04-07 19:15:30, GET, /favicon.ico, HTTP/1.1, 400, 0.000613
127.0.0.1, 2018-04-08 20:43:29, GET, /, HTTP/1.1, 303, 0.009479
127.0.0.1, 2018-04-08 20:43:30, GET, /welcome/default/index, HTTP/1.1, 200, 0.762270
127.0.0.1, 2018-04-08 20:44:34, GET, /, HTTP/1.1, 303, 0.000317
127.0.0.1, 2018-04-08 20:44:34, GET, /welcome/default/index, HTTP/1.1, 200, 0.027795
127.0.0.1, 2018-04-08 20:44:37, GET, /cats, HTTP/1.1, 404, 0.000396
127.0.0.1, 2018-04-08 20:44:38, GET, /favicon.ico, HTTP/1.1, 400, 0.000276
127.0.0.1, 2018-04-08 20:52:13, GET, /, HTTP/1.1, 303, 0.199192
127.0.0.1, 2018-04-08 20:52:13, GET, /welcome/default/index, HTTP/1.1, 200, 0.215658
127.0.0.1, 2018-04-08 20:53:24, GET, /cats, HTTP/1.1, 404, 0.000410
127.0.0.1, 2018-04-08 20:53:25, GET, /favicon.ico, HTTP/1.1, 400, 0.000366
127.0.0.1, 2018-04-08 20:58:39, GET, /welcome/default/index, HTTP/1.1, 200, 0.025459
127.0.0.1, 2018-04-08 21:01:17, GET, /, HTTP/1.1, 303, 0.007880
127.0.0.1, 2018-04-08 21:01:17, GET, /welcome/default/index, HTTP/1.1, 200, 0.190318
127.0.0.1, 2018-04-09 12:26:21, GET, /, HTTP/1.1, 303, 0.004204
127.0.0.1, 2018-04-09 12:26:21, GET, /welcome/default/index, HTTP/1.1, 200, 0.663618
127.0.0.1, 2018-04-09 12:26:27, GET, /news, HTTP/1.1, 404, 0.000294
127.0.0.1, 2018-04-09 12:26:27, GET, /favicon.ico, HTTP/1.1, 400, 0.000415
127.0.0.1, 2018-04-09 12:26:31, GET, /cats, HTTP/1.1, 404, 0.000951
127.0.0.1, 2018-04-09 12:26:32, GET, /favicon.ico, HTTP/1.1, 400, 0.000371
127.0.0.1, 2018-04-19 22:03:35, GET, /, HTTP/1.1, 303, 0.007801
127.0.0.1, 2018-04-19 22:03:35, GET, /welcome/default/index, HTTP/1.1, 200, 0.286292
127.0.0.1, 2018-04-19 22:03:35, GET, /welcome/static/css/web2py-bootstrap4.css, HTTP/1.1, 200, 0.002523
127.0.0.1, 2018-04-19 22:03:35, GET, /welcome/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 200, 0.002244
